player_id,player_name,age,nationality,club,league,position,preferred_foot,minutes,goals_per90,assists_per90,xg_per90,xa_per90,shots_per90,key_passes_per90,progressive_passes_per90,progressive_carries_per90,successful_dribbles_per90,pass_completion_pct,touches_attacking_third_per90,pressures_per90,tackles_per90,interceptions_per90,aerial_win_pct,defensive_duels_won_pct,carries_into_box_per90,passes_into_box_per90,final_third_entries_per90,style_label
1,Bukayo Saka,24,England,Arsenal,Premier League,RW,Left,2217,0.45,0.33,0.45,0.42,2.57,2.34,3.27,4.1,1.88,77.5,44.8,14.62,0.97,0.52,46.3,56.3,1.37,1.33,4.02,Advanced creator
2,Lamine Yamal,18,Spain,Barcelona,La Liga,RW,Left,2793,0.36,0.41,0.35,0.32,1.96,2.71,3.18,5.31,2.42,82.8,35.88,13.28,1.27,0.67,47.6,51.5,1.52,1.37,5.21,Direct ball-carrying winger
3,Jamal Musiala,23,Germany,Bayern Munich,Bundesliga,AM,Right,2045,0.4,0.39,0.35,0.45,2.38,3.15,5.72,4.77,2.27,84.9,38.82,17.35,1.19,0.8,52.7,60.5,1.19,1.59,7.51,Advanced creator
4,Florian Wirtz,23,Germany,Liverpool,Premier League,AM,Right,1641,0.36,0.4,0.37,0.47,2.12,3.44,4.06,3.65,1.75,87.1,42.27,13.38,1.22,0.88,47.3,54.8,1.26,1.92,5.73,Advanced creator
5,Vinicius Junior,25,Brazil,Real Madrid,La Liga,LW,Right,2410,0.51,0.3,0.38,0.32,2.99,1.8,3.31,5.38,2.52,84,44.54,14.49,0.95,0.67,48.2,57.3,2.19,1.29,4.73,Direct ball-carrying winger
6,Kylian Mbappe,27,France,Real Madrid,La Liga,ST,Right,1877,0.86,0.23,0.73,0.24,3.94,1.17,2.47,2.02,1.26,81,27.37,10.94,0.75,0.55,51.2,54.6,0.89,1.1,2.02,Transition striker
7,Erling Haaland,25,Norway,Manchester City,Premier League,ST,Left,2208,0.88,0.23,0.57,0.17,4.02,1.38,2.51,1.7,1.07,81.6,18.84,14.62,0.75,0.56,52.3,53.5,1.33,0.88,1.7,Transition striker
8,Jude Bellingham,22,England,Real Madrid,La Liga,CM,Right,2535,0.21,0.29,0.29,0.37,1.39,2.14,5.11,2.32,0.93,85.6,23.59,26.94,2.18,1.16,44.8,53.6,0.52,1.78,4.6,Press-resistant controller
9,Pedri,23,Spain,Barcelona,La Liga,CM,Right,1679,0.25,0.36,0.24,0.32,1.57,1.84,6.53,2.91,1.15,84.7,32.31,23.63,2.68,1.1,45.3,51.2,0.57,1.16,5.81,Box-crashing midfielder
10,Rodri,29,Spain,Manchester City,Premier League,DM,Right,2160,0.15,0.27,0.24,0.3,0.86,1.05,8.33,2.16,0.78,94.8,15.89,25.55,3.39,2.41,44.8,60.2,0.33,0.88,5.04,Defensive ball-winner
11,Martin Odegaard,27,Norway,Arsenal,Premier League,AM,Left,2494,0.43,0.38,0.28,0.38,2.64,3,3.79,3.94,1.88,87.5,41.22,14.8,1.16,0.9,49.5,51.4,1.31,1.81,6.19,Advanced creator
12,Phil Foden,25,England,Manchester City,Premier League,AM,Left,2482,0.35,0.48,0.4,0.51,2.02,3.29,6.36,3.13,1.51,81.3,51.13,13.52,1.54,0.67,51.2,51.4,1.04,2.2,4.9,Advanced creator
13,Cole Palmer,23,England,Chelsea,Premier League,AM,Left,1977,0.32,0.38,0.34,0.44,1.84,3.03,5.87,4.02,1.92,79.4,37.46,13.26,1.16,0.6,44.3,55,1.06,1.61,6.32,Advanced creator
14,Declan Rice,27,England,Arsenal,Premier League,DM,Right,2244,0.11,0.17,0.25,0.31,0.75,1.12,7.34,2.21,0.8,89.6,19.08,24.93,2.4,1.88,50.3,56,0.3,0.74,5.16,Deep-lying distributor
15,Bruno Fernandes,31,Portugal,Manchester United,Premier League,AM,Right,2101,0.29,0.41,0.27,0.37,1.6,2.92,4.03,3.19,1.54,82.1,42.22,19.07,1.26,0.7,52.8,59.4,0.87,2.48,5.01,Advanced creator
16,Mohamed Salah,33,Egypt,Liverpool,Premier League,RW,Left,1849,0.38,0.3,0.37,0.34,2.07,2,2.59,5.6,2.54,80.2,38.99,17.77,0.88,0.6,49.2,53.6,1.41,1.78,5.49,Direct ball-carrying winger
17,Kevin De Bruyne,34,Belgium,Napoli,Serie A,CM,Right,1976,0.28,0.32,0.26,0.34,1.7,2.02,5.4,2.67,1.06,91.8,39.11,16.86,2.36,1.58,47.9,56.4,0.62,1.16,5.3,Box-crashing midfielder
18,Bernardo Silva,31,Portugal,Manchester City,Premier League,CM,Left,1858,0.25,0.31,0.19,0.27,1.57,1.44,7.41,2.9,1.15,89.3,23.78,27.03,2.3,1.4,43.7,51.6,0.67,1.2,5.79,Press-resistant controller
19,Rafael Leao,26,Portugal,AC Milan,Serie A,LW,Right,2337,0.43,0.32,0.45,0.38,2.39,1.55,3.13,5.42,2.54,83.9,39.55,12.54,1.02,0.67,49,52.7,1.62,1.1,4.77,Direct ball-carrying winger
20,Khvicha Kvaratskhelia,25,Georgia,Paris Saint-Germain,Ligue 1,LW,Right,1779,0.53,0.31,0.51,0.44,3.12,2.29,3.84,5.03,2.36,84.6,35.86,20.17,1,0.69,51.2,57,2.18,1.3,4.43,Advanced creator
21,Victor Osimhen,27,Nigeria,Galatasaray,Super Lig,ST,Right,2529,0.74,0.12,0.54,0.11,3.64,1.02,1.82,1.52,0.93,72.6,26.51,13,0.59,0.31,48,58.6,0.93,0.87,1.52,Transition striker
22,Harry Kane,32,England,Bayern Munich,Bundesliga,ST,Right,1739,0.66,0.18,0.74,0.22,3.18,1.51,1.94,1.81,1.1,74.6,26.31,15.04,0.72,0.35,51.8,53.5,0.96,0.65,1.81,Transition striker
